Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Fearless Pt. II","Lost Sky","Fearless Pt. II","Bestest","Playlist","GB2LD1700381","4y1nvncvBhdoelqPMyXxis"
"Your Love","The Outfield","Play Deep","Bestest","Playlist","USSM10100176","0WoFs3EdGOx58yX5BtXvOa"
"Dancin (feat. Luvli) - Krono Remix","Aaron Smith","Dancin (feat. Luvli) [Krono Remix]","Bestest","Playlist","QMLA71400326","6WkJ2OK163XXS2oARUC9JM"
"(I Just) Died In Your Arms","Cutting Crew","Classic Road Trip Songs","Bestest","Playlist","GBAAA8600046","3qB3imBWEgiI13NPAUN6o9"
"Riptide","Vance Joy","Dream Your Life Away","Bestest","Playlist","AULI01385760","7yq4Qj7cqayVTp3FF9CWbm"
"Sweet but Psycho","Ava Max","Heaven & Hell","Bestest","Playlist","USAT21802011","7DnAm9FOTWE3cUvso43HhI"
"Diamonds","Rihanna","Unapologetic (Deluxe)","Bestest","Playlist","USUM71211793","6O20JhBJPePEkBdrB5sqRx"
"PILLOWTALK","ZAYN","PILLOWTALK","Bestest","Playlist","USRC11600042","0IKK48xF4eEdfofyaeKWWO"
"Alone, Pt. II","Alan Walker","World Of Walker","Bestest","Playlist","NOG841907010","28VbwtsYnj85UEODGpQRem"
"Making Love Out of Nothing at All","Air Supply","Românticas Anos 80","Bestest","Playlist","USAR18300001","3E6Sv9PtngXfljg0dCHGoM"
"Part-Time Lover","Stevie Wonder","In Square Circle","Bestest","Playlist","USMO18500543","0Dm43YLUlGdePpSbI1ct8h"
"Gloria","Laura Branigan","Self Control","Bestest","Playlist","USAT20903895","76OMKj3Pcd1i1095M0whB3"
"Come Sail Away","Styx","The Grand Illusion","Bestest","Playlist","USUMG0000438","0PsbWiVtix5FoTZ1s00mEl"
"Unstoppable","Sia","This Is Acting (Deluxe Version)","Bestest","Playlist","USRC11502934","1yvMUkIOTeUNtNWlWRgANS"
"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","ABBA Gold","Bestest","Playlist","SEAYD7901120","1DSfSCGnvhEP8XA2oKkcCq"
"I'm a Believer","The Monkees","The Best of The Monkees","Bestest","Playlist","USRH10125749","1CSLeVCXmetBh8IkTPMFdL"
"Maniac","Michael Sembello","Flashdance (Original Soundtrack From The Motion Picture)","Bestest","Playlist","USPR38302462","0QKfiqpEU4h9ycPSzIFwYe"
